83823441920764773666424416247689130226228482062813479982962419678690909379585 04/23/2024, 16:15:36 Speed 2 24557023024326495388375648053246405526881217030665175582262909248543157671910 
24557023024326495388375648053246405526881217030665175582262909248543157671910 04/23/2024, 16:15:48 Speed 2 28470664742870564679580605411471043954454509968814532640738154141432839397416 
28470664742870564679580605411471043954454509968814532640738154141432839397416 04/23/2024, 16:16:08 Speed 2 82879460476906455766721582344766346212321585501393790744685626751057378741344 
82879460476906455766721582344766346212321585501393790744685626751057378741344 04/24/2024, 18:24:05 Speed 2 20138484494095766004474439382672610591845683219761495650308445128904456829739 
20138484494095766004474439382672610591845683219761495650308445128904456829739 04/24/2024, 18:37:03 Speed 2 58973688661823081092334293229815988628675120964982819951193037307095741454924 
58973688661823081092334293229815988628675120964982819951193037307095741454924 04/24/2024, 18:24:33 Speed 2 34704202111040573037525332543993210003433776548702235515223073475877318508062 
34704202111040573037525332543993210003433776548702235515223073475877318508062 04/24/2024, 18:37:47 Speed 2 62407282257946364110980505582438847077769417599946444189513117694628283737318 
62407282257946364110980505582438847077769417599946444189513117694628283737318 04/24/2024, 18:25:25 Speed 2 27477511021876908355542623126809248982653779624887186006889008590770957493727 
27477511021876908355542623126809248982653779624887186006889008590770957493727 04/24/2024, 18:25:37 Speed 2 30366760969439610098998240012512257963631814977046885884355442070397505386582 
30366760969439610098998240012512257963631814977046885884355442070397505386582 04/24/2024, 18:26:21 Speed 2 63647467620644217730489807785205419106118630868156477722904268878001590657284 
63647467620644217730489807785205419106118630868156477722904268878001590657284 04/24/2024, 18:28:00 Speed 2 58606281274488864758551158883168169169234802142687490469616908491980361050727 
58606281274488864758551158883168169169234802142687490469616908491980361050727 04/24/2024, 18:27:49 Speed 2 88018899465309363856859617034505001803860751587703130012643189539550962843031 
88018899465309363856859617034505001803860751587703130012643189539550962843031 04/24/2024, 18:40:43 Speed 2 45261203714141710627897305048673303478835678088494015120394106257138139352891 
45261203714141710627897305048673303478835678088494015120394106257138139352891 04/24/2024, 18:27:51 Speed 2 44980070409989017326385942147610936416475156953503600073509572916086655183934 
44980070409989017326385942147610936416475156953503600073509572916086655183934 04/24/2024, 18:29:06 Speed 2 107292709412549658564027538025388300153521914339421244293257479734533466460659 
107292709412549658564027538025388300153521914339421244293257479734533466460659 04/24/2024, 18:28:55 Speed 2 102711667244540920847918991314017611757316352231824336991836427241202089076219 
102711667244540920847918991314017611757316352231824336991836427241202089076219 04/24/2024, 18:29:28 Speed 2 89311536307838471171548931693149468206278710265234970480325647662010102059316 
89311536307838471171548931693149468206278710265234970480325647662010102059316 04/24/2024, 18:30:09 Speed 2 46656030437428254580363056065049498432718702152229276998601051830076585993103 
46656030437428254580363056065049498432718702152229276998601051830076585993103 04/24/2024, 18:30:36 Speed 2 115691285931620344770662358261698967958727183885503686646145513171483117133796 
115691285931620344770662358261698967958727183885503686646145513171483117133796 04/24/2024, 18:30:15 Speed 2 10676668981333878396474104838584988809388499694762338895800818764651806712250 
10676668981333878396474104838584988809388499694762338895800818764651806712250 04/24/2024, 18:30:58 Speed 2 797537056375361034291366767961331317102802937046130257457785901312242826928 
797537056375361034291366767961331317102802937046130257457785901312242826928 04/24/2024, 18:31:01 Speed 2 72667626964751616779119590931028387570217799668565522665411171727120465111951 
72667626964751616779119590931028387570217799668565522665411171727120465111951 04/24/2024, 18:31:27 Speed 2 96128506739940578979971309130609166837364454509283931590906884951318889677109 
96128506739940578979971309130609166837364454509283931590906884951318889677109 04/24/2024, 18:31:23 Speed 2 69898584990740462757251558180481607389701236939339999097490707574386589319849 
69898584990740462757251558180481607389701236939339999097490707574386589319849 04/24/2024, 18:32:04 Speed 2 80941970101486197475976012349984958552451058769612217091439231259213771746019 
80941970101486197475976012349984958552451058769612217091439231259213771746019 04/24/2024, 18:44:47 Speed 2 68316441640929010218542861700977697858563791411175030910561241813132079115386 
68316441640929010218542861700977697858563791411175030910561241813132079115386 04/24/2024, 18:32:48 Speed 2 4183319437286294936314872529465738456650855722807955395224582487778056472496 
4183319437286294936314872529465738456650855722807955395224582487778056472496 04/24/2024, 18:45:31 Speed 2 15831646269555191947076955193715915307336725219658998238116009666217110953200 
15831646269555191947076955193715915307336725219658998238116009666217110953200 04/24/2024, 18:32:55 Speed 2 39621975571396771542954804472119098953814016819537488665714904415855343399751 
39621975571396771542954804472119098953814016819537488665714904415855343399751 04/24/2024, 18:45:53 Speed 2 62431115784959959097585025827013275626340473846769080236964674350528623411296 
62431115784959959097585025827013275626340473846769080236964674350528623411296 04/24/2024, 18:33:29 Speed 2 53736977173219086003900921344996633935040850235753869825570609644173606978784 
53736977173219086003900921344996633935040850235753869825570609644173606978784 04/24/2024, 18:33:39 Speed 2 36311992290953428750389001001897704675872120848798040367444937078813186084970 
36311992290953428750389001001897704675872120848798040367444937078813186084970 04/24/2024, 18:46:37 Speed 2 7056556254834773899412832309950332494790081917913781517706450045889919550879 
7056556254834773899412832309950332494790081917913781517706450045889919550879 04/24/2024, 18:34:38 Speed 2 10659350757829824525247021048501197843547944114578911113116119651616999278876 
10659350757829824525247021048501197843547944114578911113116119651616999278876 04/24/2024, 18:35:22 Speed 2 4017073268417446486235554533795629255054762389199226527291377150162764661514 
4017073268417446486235554533795629255054762389199226527291377150162764661514 04/24/2024, 18:48:05 Speed 2 6680500186636484923120412215594774374063264340588288091450938132472622265772 
